musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
17A,"Keomah silt loam, 0 to 2 percent slopes",Consociation,NA,1613,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,Order 2,NA,NA,NA,NA,NA,11867,200948
257A,"Clarksdale silt loam, 0 to 2 percent slopes",Consociation,NA,949,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,Order 2,NA,NA,NA,NA,NA,11867,200955
699A,"Timewell silt loam, 0 to 2 percent slopes",Consociation,NA,935,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,,Order 2,NA,NA,NA,NA,NA,11867,201116
