unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,51117781,96018845
CL,No ,51117782,96018846
MH,Yes,51117782,96018847
CH,Yes,51117783,96018848
CL,No ,51117783,96018849
ML,No ,51117784,96018850
CL,Yes,51117784,96018851
CL,Yes,51117785,96018852
CL,Yes,51117786,96018853
CH,No ,51117786,96018854
CL,Yes,51117787,96018855
CL,Yes,51117788,96018856
CL,Yes,51117789,96018857
CL,Yes,51117790,96018858
CL,No ,51117791,96018859
CH,Yes,51117791,96018860
CL,Yes,51117792,96018861
CL,Yes,51117938,96019096
CL,No ,51117939,96019097
MH,Yes,51117939,96019098
CH,Yes,51117940,96019099
CL,No ,51117940,96019100
CL,Yes,51117941,96019101
CL-ML,No ,51117942,96019102
CL,Yes,51117942,96019103
CL,Yes,51117943,96019104
CL,Yes,51117944,96019105
CL,Yes,51117945,96019106
CL,Yes,51117946,96019107
CH,Yes,51117947,96019108
CL,No ,51117947,96019109
CL,Yes,51117948,96019110
CL,Yes,51117949,96019111
CL,Yes,51117950,96019112
CL,No ,51117951,96019113
CH,Yes,51117951,96019114
CL,Yes,51117952,96019115
CL,Yes,51117953,96019116
CL,Yes,51117954,96019117
CL,Yes,51117997,96019186
MH,Yes,51117998,96019187
ML,No ,51117998,96019188
CL,Yes,51117999,96019189
CL,Yes,51118000,96019190
CL-ML,No ,51118001,96019191
CL,Yes,51118001,96019192
CL,Yes,51118002,96019193
CL,Yes,51118003,96019194
CL,Yes,51118004,96019195
CL,Yes,51118005,96019196
CL,Yes,51118006,96019197
CL,Yes,51118007,96019198
CL,No ,51118008,96019199
CH,Yes,51118008,96019200
CL,Yes,51118009,96019201
CL,Yes,51118010,96019202
CL-ML,No ,51118010,96019203
CH,No ,51118011,96019204
CL,Yes,51118011,96019205
CL,Yes,51118012,96019206
CL-ML,No ,51118012,96019207
CL,Yes,51118013,96019208
CL,Yes,51118014,96019209
CH,No ,51118014,96019210
