areaovacres,lareaovkey,mukey,muareaovkey
1613,399995,200948,23708813
1613,399996,200948,23708812
1613,399998,200948,23708811
949,399995,200955,23708870
949,399996,200955,23708869
949,399998,200955,23708868
935,399995,201116,23708837
935,399996,201116,23708836
935,399998,201116,23708835
