texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SIL,No ,No ,Silt loam,51117781,102142572
SICL,No ,Yes,Silty clay loam,51117781,102142573
SICL,No ,Yes,Silty clay loam,51117782,102142574
SICL,No ,Yes,Silty clay loam,51117783,102142575
SIC,No ,No ,Silty clay,51117783,102142576
SIL,No ,Yes,Silt loam,51117784,102142577
SIL,No ,Yes,Silt loam,51117785,102142578
SICL,No ,Yes,Silty clay loam,51117786,102142579
SIC,No ,No ,Silty clay,51117786,102142580
SICL,No ,Yes,Silty clay loam,51117787,102142581
SIL,No ,Yes,Silt loam,51117788,102142582
SICL,No ,No ,Silty clay loam,51117788,102142583
SIL,No ,Yes,Silt loam,51117789,102142584
SIL,No ,Yes,Silt loam,51117790,102142585
SICL,No ,Yes,Silty clay loam,51117791,102142586
SIC,No ,No ,Silty clay,51117791,102142587
SIL,No ,No ,Silt loam,51117792,102142588
SICL,No ,Yes,Silty clay loam,51117792,102142589
SIL,No ,No ,Silt loam,51117938,102142823
SICL,No ,Yes,Silty clay loam,51117938,102142824
SICL,No ,Yes,Silty clay loam,51117939,102142825
SICL,No ,Yes,Silty clay loam,51117940,102142826
SIC,No ,No ,Silty clay,51117940,102142827
SIL,No ,Yes,Silt loam,51117941,102142828
SIL,No ,Yes,Silt loam,51117942,102142829
SICL,No ,Yes,Silty clay loam,51117943,102142830
SIL,No ,Yes,Silt loam,51117944,102142831
SICL,No ,No ,Silty clay loam,51117944,102142832
SIL,No ,Yes,Silt loam,51117945,102142833
SICL,No ,No ,Silty clay loam,51117945,102142834
SIL,No ,Yes,Silt loam,51117946,102142835
SICL,No ,Yes,Silty clay loam,51117947,102142836
SIC,No ,No ,Silty clay,51117947,102142837
SICL,No ,Yes,Silty clay loam,51117948,102142838
SIL,No ,No ,Silt loam,51117948,102142839
SIL,No ,Yes,Silt loam,51117949,102142840
SIL,No ,Yes,Silt loam,51117950,102142841
SICL,No ,Yes,Silty clay loam,51117951,102142842
SIC,No ,No ,Silty clay,51117951,102142843
SIL,No ,No ,Silt loam,51117952,102142844
SICL,No ,Yes,Silty clay loam,51117952,102142845
SIL,No ,Yes,Silt loam,51117953,102142846
SIL,No ,Yes,Silt loam,51117954,102142847
SIL,No ,Yes,Silt loam,51117997,102142907
SICL,No ,No ,Silty clay loam,51117997,102142908
SICL,No ,Yes,Silty clay loam,51117998,102142909
SICL,No ,Yes,Silty clay loam,51117999,102142910
SIL,No ,Yes,Silt loam,51118000,102142911
SIL,No ,Yes,Silt loam,51118001,102142912
SICL,No ,Yes,Silty clay loam,51118002,102142913
SIL,No ,Yes,Silt loam,51118003,102142914
SICL,No ,No ,Silty clay loam,51118003,102142915
SIL,No ,Yes,Silt loam,51118004,102142916
SIL,No ,Yes,Silt loam,51118005,102142917
SICL,No ,No ,Silty clay loam,51118005,102142918
SIL,No ,Yes,Silt loam,51118006,102142919
SIL,No ,Yes,Silt loam,51118007,102142920
SICL,No ,Yes,Silty clay loam,51118008,102142921
SIC,No ,No ,Silty clay,51118008,102142922
SIL,No ,No ,Silt loam,51118009,102142923
SICL,No ,Yes,Silty clay loam,51118009,102142924
SIL,No ,Yes,Silt loam,51118010,102142925
SICL,No ,No ,Silty clay loam,51118010,102142926
SIC,No ,No ,Silty clay,51118011,102142927
SICL,No ,Yes,Silty clay loam,51118011,102142928
SIL,No ,Yes,Silt loam,51118012,102142929
SIL,No ,Yes,Silt loam,51118013,102142930
SICL,No ,Yes,Silty clay loam,51118014,102142931
