geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Base Slope,,,26494129,9699125
NA,Base Slope,,,26494130,9699124
NA,,,Talf,26494168,9699136
NA,,,Talf,26494169,9699126
NA,Base Slope,,,26494172,9699137
NA,Base Slope,,,26494173,9699138
NA,,,Dip,26494219,9699170
NA,,,Dip,26494220,9699171
NA,,,Dip,26494222,9699172
NA,,,Dip,26494223,9699173
