hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Ap,NA,A,NA,NA,0,0,0,25,53,61,NA,53,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,91,95,100,1,6,10,0,0.1,0.3,0,0.3,0.7,0,1.1,3,0,2,5,0,2.5,5,55,63,72,NA,NA,NA,NA,NA,NA,27,31,35,0,0,0,4,5.5,7,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,1.32,1.42,1.45,NA,4.23,9.17,14.11,0.16,0.19,0.22,NA,NA,NA,32.1,34.3,36.1,18.7,22.4,26,41,45,49,3,3.1,5.9,45,51,58,18,21,24,18,24,30,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,2,23,26.3,29.6,NA,NA,NA,20.2,23.4,29.4,5.6,6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,8.3,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,51074807
Btg1,NA,B,NA,1,25,53,61,102,112,152,NA,59,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,99,100,89,95,100,1,6,10,0,0.1,0.3,0,0.3,0.7,0,1.1,3,0,2,5,0,2.5,5,53,62,74,NA,NA,NA,NA,NA,NA,25,32,37,0,0,0,0.3,1.1,2,NA,NA,NA,1.25,1.35,1.45,NA,NA,NA,1.45,1.55,1.6,NA,4.23,9.17,14.11,0.15,0.18,0.21,NA,NA,NA,28.9,32.1,34.2,13.9,18.6,22.3,42,46,50,3,4.6,5.9,36,44,51,17,23,26,14,23,30,0.37,0.37,0,0,5,0,0,0,0,0,0,0,0,2,19.4,25.4,29.7,NA,NA,NA,18.5,24.9,68.7,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,4,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,51074808
2Btg2,2,B,NA,2,102,112,152,114,175,191,NA,63,NA,0,0,0,0,0,0,100,100,100,85,91,98,76,89,98,63,79,97,2,16,30,0,0.5,2,0,1,3,1,4,10,1,7,15,0,3.5,10,33,56,78,NA,NA,NA,NA,NA,NA,20,28,37,0,0,0,0.2,0.4,0.6,NA,NA,NA,1.4,1.5,1.6,NA,NA,NA,1.57,1.67,1.78,NA,4.23,9.17,14.11,0.12,0.15,0.18,NA,NA,NA,25.2,29.6,34.2,11.2,16.4,22.7,34,39,44,3,3.5,5.9,30,39,48,13,19,26,5,14,28,0.43,0.43,0,7,15,0,0,0,0,0,0,0,0,2,15.6,21.7,28.3,NA,NA,NA,14,60.4,67.3,6.6,7.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.7,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,51074809
2C,2,C,NA,NA,114,175,191,152,200,200,NA,25,NA,0,0,0,0,1,2,94,95,100,84,91,98,75,89,98,63,78,96,2,16,30,0,0.5,2,0,1,3,1,4,10,1,7,15,0,3.5,10,40,56,83,NA,NA,NA,NA,NA,NA,15,28,30,0,0,0,0,0.2,0.5,NA,NA,NA,1.6,1.7,1.78,NA,NA,NA,1.79,1.89,1.93,NA,1.41,2.82,4.23,0.08,0.11,0.15,NA,NA,NA,22.8,28.7,31.8,9,18.1,20.9,27,32,37,1,2.9,2.9,25,38,41,9,19,21,3,13,21,0.43,0.43,5,17,30,0,0,0,0,0,0,0,0,2,10.9,21.1,23.3,NA,NA,NA,44.2,59.8,62.3,7.4,8,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,51074810
Ap,NA,A,NA,NA,0,0,0,15,20,28,NA,20,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,91,96,100,1,5,10,0,0.2,1,0,0.8,2,0,1,3,0,1,3,0,2,3,63,71,79,NA,NA,NA,NA,NA,NA,20,24,27,0,0,0,3.5,4,5,NA,NA,NA,1.25,1.35,1.45,NA,NA,NA,1.32,1.42,1.47,NA,4.23,9.17,14.11,0.19,0.22,0.25,NA,NA,NA,29.9,31.6,33.3,15.1,17.8,20.6,40,44,48,1,1.8,2.9,37,42,47,13,16,18,13,17,22,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,17.3,20.3,22.6,NA,NA,NA,13.7,18.7,22.1,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,6.6,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074811
A,NA,A,NA,NA,15,20,28,25,46,50,NA,26,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,96,99,1,5,10,0,0.2,1,0,0.8,2,0,1,3,0,1,3,0,2,3,58,66,72,NA,NA,NA,NA,NA,NA,27,29,32,0,0,0,2.5,3,4.5,NA,NA,NA,1.25,1.35,1.45,NA,NA,NA,1.41,1.51,1.6,NA,4.23,9.17,14.11,0.14,0.17,0.2,NA,NA,NA,31.5,32.5,34.4,17.6,19.2,22.6,41,45,48,3,3.9,5.9,42,45,52,18,20,22,19,22,27,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,2,20,23.7,26.1,NA,NA,NA,17,21,25.7,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6.6,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074812
2Bt3,2,B,NA,3,102,114,152,114,124,165,NA,10,NA,0,0,0,0,0,3,92,95,100,79,90,98,68,86,98,54,71,87,15,25,40,0,1,3,0,2,4,1,6,11,1,9,14,1,7,13,30,50,67,NA,NA,NA,NA,NA,NA,18,25,30,0,0,0,0.1,0.3,0.5,NA,NA,NA,1.4,1.5,1.6,NA,NA,NA,1.54,1.64,1.64,NA,4.23,9.17,14.11,0.13,0.16,0.19,NA,NA,NA,22.7,28.3,31.8,9.3,14.5,18.4,32,39,44,1,2.8,2.9,28,35,40,12,17,21,3,10,18,0.43,0.43,0,0,10,0,0,0,0,0,0,0,0,2,10,19.3,21,NA,NA,NA,8.6,19.2,40,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074813
2C,2,C,NA,NA,114,124,165,152,152,200,NA,28,NA,0,0,1,0,1,2,92,96,100,79,91,98,66,83,98,46,62,80,15,37,45,1,3,6,2,4,8,4,9,20,8,13,18,1,8,14,28,44,70,NA,NA,NA,NA,NA,NA,15,19,27,0,1,3,0.1,0.2,0.4,NA,NA,NA,1.65,1.75,1.78,NA,NA,NA,1.75,1.85,1.92,NA,1.41,2.82,4.23,0.08,0.11,0.14,NA,NA,NA,22,26.8,32.2,8.9,12.7,19.3,26,30,35,0,1.7,2.9,24,29,37,8,12,19,0,4,14,0.43,0.43,15,25,40,0,0,0,0,2,6,0,0,2,6,14.3,18,NA,NA,NA,24.7,30,37,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074814
Bt1,NA,B,NA,1,25,46,50,75,81,100,NA,35,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,96,99,1,5,10,0,0.2,1,0,0.8,2,0,1,3,0,1,3,0,2,3,50,58,64,NA,NA,NA,NA,NA,NA,35,37,40,0,0,0,0.5,1,2,NA,NA,NA,1.3,1.4,1.5,NA,NA,NA,1.59,1.69,1.81,NA,1.41,2.82,4.23,0.12,0.15,0.18,NA,NA,NA,33,34,35.5,20.2,21.9,24.8,41,44,48,6,6.5,8.9,46,49,55,25,26,29,25,29,34,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,2,25.5,28.1,30.8,NA,NA,NA,23.9,26,30.5,5.6,5.8,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7.5,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074815
Bt2,NA,B,NA,2,75,81,100,102,114,152,NA,33,NA,0,0,0,0,0,0,100,100,100,100,100,100,93,98,100,87,93,100,2,8,15,0,0.5,1,0,1,2,0,1.8,4,0,2.2,5,0,2.5,6,50,60,73,NA,NA,NA,NA,NA,NA,25,32,35,0,0,0,0.2,0.5,1,NA,NA,NA,1.3,1.4,1.5,NA,NA,NA,1.51,1.61,1.66,NA,4.23,9.17,14.11,0.13,0.16,0.19,NA,NA,NA,29.2,32.1,33.4,14.3,18.5,20.8,41,44,48,3,4.7,5.9,35,43,47,17,23,25,13,24,27,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,2,17,24.3,26.8,NA,NA,NA,15.5,23.9,26.1,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,5.8,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074816
