musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
154A,"Flanagan silt loam, 0 to 2 percent slopes",Consociation,NA,57001,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11320,183889
356A,"Elpaso silty clay loam, 0 to 2 percent slopes",Consociation,NA,65047,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11320,183894
