desgnsuffix,chkey,chdesgnsfxkey
p,51074742,20131413
g,51074743,20131414
g,51074744,20131415
g,51074745,20131237
p,51074746,20131342
t,51074747,20131343
g,51074747,20131344
t,51074748,20131345
g,51074748,20131346
p,51074750,20131408
k,51074750,20131409
g,51074751,20131410
g,51074752,20131411
g,51074753,20131412
p,51074807,20131289
t,51074808,20131290
g,51074808,20131291
t,51074809,20131292
g,51074809,20131293
p,51074811,20131286
t,51074813,20131288
t,51074815,20131287
t,51074816,20131285
