pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,Clayey,,Colluvium,NA,12637188,17710034
1,,,Loess,NA,12637189,17710035
2,,,Till,NA,12637189,17710036
1,,,Calcareous loess,NA,12637190,17710037
1,,glacial,Drift,NA,12637190,17710038
1,,,Loess,NA,12637204,17710066
2,,,Till,NA,12637204,17710067
1,,,Loess,NA,12637205,17710068
2,Loamy,,Till,NA,12637205,17710069
