musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
154A,"Flanagan silt loam, 0 to 2 percent slopes",NA,0.9,0.9,NA,46,46,None,None,4,5.23,9.42,17.17,23.91,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,1,95,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.459,Slight,4,1,183889
356A,"Elpaso silty clay loam, 0 to 2 percent slopes",NA,0.5,0.5,NA,15,15,None,None,100,4.74,9.48,18.51,26.42,Poorly drained,Poorly drained,B/D,NA,100,2,98,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,100,1,183894
