structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Moderate,Medium,Subangular blocky,NA,NA,27183752,33236979
Moderate,Fine,Granular,NA,NA,27183753,33236980
Moderate,Medium,Subangular blocky,NA,NA,27183754,33236981
Weak,Coarse,Subangular blocky,NA,NA,27183755,33236982
Structureless,,Massive,NA,NA,27183756,33236983
Weak,Fine,Granular,NA,NA,27183757,33236984
Moderate,Fine,Prismatic,1,2,27183758,33236985
Moderate,Medium,Subangular blocky,2,NA,27183758,33236986
Weak,Medium and coarse,Prismatic,NA,NA,27183759,33236987
Structureless,,Massive,NA,NA,27183760,33236988
Moderate,Medium,Granular,NA,NA,27183761,33236989
Weak,Fine,Granular,NA,NA,27183938,33237194
Moderate,Medium,Prismatic,1,2,27183939,33237195
Moderate,Medium,Angular blocky,2,NA,27183939,33237196
Weak,Coarse,Subangular blocky,NA,NA,27183940,33237197
Structureless,,Massive,NA,NA,27183941,33237198
Weak,Fine,Granular,NA,NA,27183942,33237199
Moderate,Medium,Angular blocky,NA,NA,27183943,33237200
Structureless,,Massive,NA,NA,27183944,33237201
Moderate,Fine,Prismatic,NA,NA,27183945,33237202
Weak,Fine,Granular,NA,NA,27184005,33237266
Moderate,Fine,Prismatic,1,2,27184006,33237267
Moderate,Medium,Subangular blocky,2,NA,27184006,33237268
Weak,Medium and coarse,Prismatic,NA,NA,27184007,33237269
Structureless,,Massive,NA,NA,27184008,33237270
