aashtocl,rvindicator,chkey,chaashtokey
A-7-5,Yes,51074742,83525487
A-7-6,No ,51074742,83525488
A-7-6,Yes,51074743,83525489
A-7-5,No ,51074743,83525490
A-6,No ,51074744,83525491
A-7-6,Yes,51074744,83525492
A-7-6,Yes,51074745,83525493
A-7-6,No ,51074746,83525494
A-7-5,Yes,51074746,83525495
A-6,No ,51074747,83525496
A-7-6,Yes,51074747,83525497
A-7-6,No ,51074748,83525498
A-6,Yes,51074748,83525499
A-7-6,No ,51074749,83525500
A-6,Yes,51074749,83525501
A-7-6,No ,51074750,83525502
A-7-5,Yes,51074750,83525503
A-6,No ,51074751,83525504
A-7-6,Yes,51074751,83525505
A-6,Yes,51074752,83525506
A-7-6,No ,51074752,83525507
A-6,Yes,51074753,83525508
A-4,No ,51074753,83525509
A-7-6,No ,51074807,83525627
A-7-5,Yes,51074807,83525628
A-6,No ,51074808,83525629
A-7-6,Yes,51074808,83525630
A-6,Yes,51074809,83525631
A-7-6,No ,51074809,83525632
A-6,Yes,51074810,83525633
A-7-6,No ,51074810,83525634
A-4,No ,51074810,83525635
A-6,No ,51074811,83525636
A-7-6,Yes,51074811,83525637
A-7-5,No ,51074812,83525638
A-7-6,Yes,51074812,83525639
A-6,Yes,51074813,83525640
A-4,No ,51074814,83525641
A-6,Yes,51074814,83525642
A-7-6,Yes,51074815,83525643
A-6,No ,51074816,83525644
A-7-6,Yes,51074816,83525645
