unifiedcl,rvindicator,chkey,chunifiedkey
MH,Yes,51074742,95940789
CH,Yes,51074743,95940790
CL,No ,51074743,95940791
MH,No ,51074743,95940792
CH,No ,51074744,95940793
CL,Yes,51074744,95940794
CH,Yes,51074745,95940795
CL,No ,51074745,95940796
CL,No ,51074746,95940797
ML,No ,51074746,95940798
MH,Yes,51074746,95940799
CH,No ,51074747,95940800
CL,Yes,51074747,95940801
CL,Yes,51074748,95940802
CL,Yes,51074749,95940803
CL,No ,51074750,95940804
ML,No ,51074750,95940805
MH,Yes,51074750,95940806
CL,Yes,51074751,95940807
CL,Yes,51074752,95940808
CL,Yes,51074753,95940809
ML,No ,51074807,95940921
CL,No ,51074807,95940922
MH,Yes,51074807,95940923
CL,Yes,51074808,95940924
CH,No ,51074808,95940925
CL,Yes,51074809,95940926
CL,Yes,51074810,95940927
CL,No ,51074811,95940928
ML,Yes,51074811,95940929
MH,No ,51074812,95940930
ML,No ,51074812,95940931
CL,Yes,51074812,95940932
CL,Yes,51074813,95940933
SC,No ,51074814,95940934
CL,Yes,51074814,95940935
CH,No ,51074815,95940936
CL,Yes,51074815,95940937
CL,Yes,51074816,95940938
