cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Corn,Bu,156,173,195,NA,NA,NA,NA,NA,17483853,36231306
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17483853,36231307
Winter wheat,Bu,53,59,66,NA,NA,NA,NA,NA,17483853,36231308
Oats,Bu,81,90,102,NA,NA,NA,NA,NA,17483853,36231309
Grass-legume hay,Tons,4.6,5.11,5.77,NA,NA,NA,NA,NA,17483853,36231310
Grass-legume pasture,AUM,7.67,8.52,9.62,NA,NA,NA,NA,NA,17483853,36231311
Corn,Bu,155,172,194,NA,NA,NA,NA,NA,17483854,36231312
Soybeans,Bu,50,55,63,NA,NA,NA,NA,NA,17483854,36231313
Oats,Bu,81,90,102,NA,NA,NA,NA,NA,17483854,36231314
Grass-legume hay,Tons,4.7,5.22,5.9,NA,NA,NA,NA,NA,17483854,36231315
Winter wheat,Bu,61,68,79,NA,NA,NA,NA,NA,17483854,36231316
Grass-legume pasture,AUM,7.7,8.7,11.6,NA,NA,NA,NA,NA,17483854,36231317
Corn,Bu,131,145,164,NA,NA,NA,NA,NA,17483836,36231210
Soybeans,Bu,43,48,55,NA,NA,NA,NA,NA,17483836,36231211
Winter wheat,Bu,49,54,61,NA,NA,NA,NA,NA,17483836,36231212
Oats,Bu,62,69,78,NA,NA,NA,NA,NA,17483836,36231213
Grass-legume hay,Tons,4,4.44,5.02,NA,NA,NA,NA,NA,17483836,36231214
Grass-legume pasture,AUM,6.66,7.4,8.37,NA,NA,NA,NA,NA,17483836,36231215
Corn,Bu,156,173,195,NA,NA,NA,NA,NA,17483837,36231216
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17483837,36231217
Winter wheat,Bu,53,59,66,NA,NA,NA,NA,NA,17483837,36231218
Oats,Bu,81,90,102,NA,NA,NA,NA,NA,17483837,36231219
Grass-legume hay,Tons,4.6,5.11,5.77,NA,NA,NA,NA,NA,17483837,36231220
Grass-legume pasture,AUM,7.67,8.52,9.62,NA,NA,NA,NA,NA,17483837,36231221
Corn,Bu,145,161,182,NA,NA,NA,NA,NA,17483838,36231222
Soybeans,Bu,46,51,57,NA,NA,NA,NA,NA,17483838,36231223
Winter wheat,Bu,54,60,68,NA,NA,NA,NA,NA,17483838,36231224
Oats,Bu,71,79,89,NA,NA,NA,NA,NA,17483838,36231225
Grass-legume hay,Tons,4.29,4.77,5.39,NA,NA,NA,NA,NA,17483838,36231226
Grass-legume pasture,AUM,7.16,7.95,8.98,NA,NA,NA,NA,NA,17483838,36231227
