pmgroupname,rvindicator,cokey,copmgrpkey
clayey colluvium,Yes,17483836,12637188
loess over till,Yes,17483837,12637189
calcareous loess and/or glacial drift,Yes,17483838,12637190
loess over till,Yes,17483853,12637204
loess over loamy till,Yes,17483854,12637205
