geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,ground moraines,,NA,1,Yes,17483853,26494172
Landform,till plains,,NA,1,No ,17483853,26494173
Landscape,uplands,,1,NA,Yes,17483853,26494174
Landform,till plains,,NA,1,Yes,17483854,26494168
Landform,ground moraines,,NA,1,No ,17483854,26494169
Landscape,uplands,,1,NA,Yes,17483854,26494170
Anthropogenic Feature,urban land,,NA,NA,Yes,17483855,26494171
Landform,till plains,,2,3,No ,17483836,26494219
Landform,depressions,,1,2,Yes,17483836,26494220
Landscape,uplands,,3,NA,Yes,17483836,26494221
Landform,till plains,,NA,1,Yes,17483837,26494129
Landform,ground moraines,,NA,1,No ,17483837,26494130
Landscape,uplands,,1,NA,Yes,17483837,26494131
Landform,depressions,,1,2,Yes,17483838,26494222
Landform,till plains,,2,3,No ,17483838,26494223
Landscape,uplands,,3,NA,Yes,17483838,26494224
