fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074742,87524576
0,1,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074743,87524577
0,0,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074743,87524578
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074744,87524579
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074744,87524580
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51074744,87524581
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074745,87524582
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51074745,87524583
0,1,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074745,87524584
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074746,87524585
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074747,87524586
0,1,2,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074748,87524587
1,3,7,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074748,87524588
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51074749,87524589
0,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074749,87524590
1,3,7,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074749,87524591
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074750,87524592
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074751,87524593
0,2,4,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074752,87524594
0,3,6,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074753,87524595
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074753,87524596
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074807,87524692
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074808,87524693
1,5,9,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074809,87524694
1,3,7,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074810,87524695
0,3,4,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074810,87524696
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51074810,87524697
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074811,87524698
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074812,87524699
0,0,2,Mixed rock fragments,75,140,250,Nonflat,Subangular,Very strongly cemented,51074813,87524700
0,3,5,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074813,87524701
1,3,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074813,87524702
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51074814,87524703
0,0,1,Mixed rock fragments,250,300,600,Nonflat,Subangular,Very strongly cemented,51074814,87524704
0,3,6,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074814,87524705
1,3,9,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074814,87524706
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Angular,Very strongly cemented,51074815,87524707
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074816,87524708
