shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Concave,Linear,26494129,15388921
Concave,Linear,26494130,15388922
Linear,Linear,26494168,15388957
Linear,Linear,26494169,15388958
Linear,Linear,26494170,15388959
Linear,Linear,26494171,15388960
Concave,Linear,26494172,15388955
Concave,Linear,26494173,15388956
Concave,Concave,26494219,15388919
Concave,Concave,26494220,15388920
Concave,Concave,26494222,15388923
Concave,Concave,26494223,15388924
