areaovacres,lareaovkey,mukey,muareaovkey
57001,399697,183889,23685807
46848,399698,183889,23685808
584,399699,183889,23685809
9569,399700,183889,23685810
57001,399702,183889,23685811
65047,399697,183894,23685790
48502,399698,183894,23685791
370,399699,183894,23685792
16175,399700,183894,23685793
65047,399702,183894,23685794
