hillslopeprof,cogeomdkey,cosurfmorhppkey
Toeslope,26494129,10947078
Toeslope,26494130,10947077
Footslope,26494170,10947087
Summit,26494170,10947088
Toeslope,26494172,10947089
Toeslope,26494173,10947090
Toeslope,26494219,10947128
Toeslope,26494220,10947129
Toeslope,26494222,10947130
Toeslope,26494223,10947131
