texcl,lieutex,chtgkey,chtkey
Silty clay loam,,102065331,103817534
Silty clay loam,,102065332,103817535
Silty clay,,102065333,103818309
Silty clay loam,,102065334,103817698
Silt loam,,102065335,103818310
Silty clay loam,,102065454,103818248
Silt loam,,102065455,103817637
Clay loam,,102065456,103818249
Silt loam,,102065457,103817785
Silty clay loam,,102065458,103817786
Loam,,102065459,103817787
Clay loam,,102065460,103817788
Silt loam,,102065461,103818250
Silty clay loam,,102065462,103817638
Loam,,102065463,103818251
Silt loam,,102065464,103818247
Silty clay loam,,102065338,103817539
Clay loam,,102065341,103817704
Silt loam,,102065342,103818314
Silty clay loam,,102065343,103817705
Loam,,102065344,103818315
Silt loam,,102065355,103817532
Loam,,102065356,103817533
Silty clay loam,,102065453,103817636
Silty clay loam,,102065465,103817486
Loam,,102065470,103817784
Silt loam,,102065471,103817485
Silty clay loam,,102065336,103817699
Silty clay,,102065337,103817856
Silty clay loam,,102065339,103817540
Silt loam,,102065340,103817541
Silt loam,,102065466,103817782
Loam,,102065467,103817783
Silty clay loam,,102065468,103817639
Clay loam,,102065469,103817484
Silty clay loam,,102065472,103817780
Silty clay,,102065473,103817781
Clay loam,,102065345,103817861
Silt loam,,102065346,103817862
Silty clay loam,,102065347,103817863
Loam,,102065348,103817864
Silty clay loam,,102065349,103817854
Silty clay loam,,102065350,103817855
Clay loam,,102065351,103817696
Silt loam,,102065352,103818307
Silty clay loam,,102065353,103817697
Loam,,102065354,103818308
Silt loam,,102065474,103818246
Silty clay loam,,102065475,103817635
