featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,61,69,91,61,69,91,17483836,8435904
Cambic horizon,61,69,91,97,127,152,30,58,91,17483836,8435905
Aquic conditions,61,69,91,152,152,152,61,83,91,17483836,8435906
Mollic epipedon,0,0,0,25,53,61,25,53,61,17483837,8435907
Cambic horizon,25,53,61,114,175,191,85,122,152,17483837,8435908
Lithologic discontinuity,102,112,152,102,112,152,0,0,0,17483837,8435909
Aquic conditions,25,53,61,152,200,200,91,147,175,17483837,8435910
Mollic epipedon,0,0,0,25,46,61,25,46,61,17483838,8435911
Aquic conditions,25,46,61,152,152,152,91,106,127,17483838,8435912
Cambic horizon,25,46,61,56,104,117,25,58,89,17483838,8435913
Lithologic discontinuity,91,142,152,91,142,152,0,0,0,17483838,8435914
Calcic horizon,0,0,41,15,46,76,15,46,71,17483838,8435915
Mollic epipedon,0,0,0,25,53,61,25,53,61,17483853,8435928
Cambic horizon,25,53,61,114,175,191,85,122,152,17483853,8435929
Lithologic discontinuity,102,112,152,102,112,152,0,0,0,17483853,8435930
Lithologic discontinuity,102,114,152,102,114,152,0,0,0,17483854,8435931
Aquic conditions,30,46,50,152,152,200,102,106,170,17483854,8435932
Mollic epipedon,0,0,0,25,46,50,25,46,50,17483854,8435933
Argillic horizon,25,46,50,114,124,165,74,78,140,17483854,8435934
