featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,25,48,61,25,48,61,17482205,8433972
Aquic conditions,25,36,61,152,152,200,91,116,175,17482205,8433973
Lithologic discontinuity,102,104,152,102,104,152,0,0,0,17482205,8433974
Cambic horizon,25,48,61,102,119,165,61,71,119,17482205,8433975
Mollic epipedon,0,0,0,61,69,91,61,69,91,17482206,8433976
Cambic horizon,61,69,91,97,127,152,30,58,91,17482206,8433977
Aquic conditions,61,69,91,152,152,152,61,83,91,17482206,8433978
Mollic epipedon,0,0,0,25,46,61,25,46,61,17482207,8433979
Aquic conditions,25,46,61,152,152,152,91,106,127,17482207,8433980
Cambic horizon,25,46,61,56,104,117,25,58,89,17482207,8433981
Lithologic discontinuity,91,142,152,91,142,152,0,0,0,17482207,8433982
Calcic horizon,0,0,41,15,46,76,15,46,71,17482207,8433983
Mollic epipedon,0,0,0,25,41,48,25,41,48,17482121,8433817
Argillic horizon,25,41,48,102,125,178,61,84,117,17482121,8433818
Lithologic discontinuity,102,125,152,102,125,152,0,0,0,17482121,8433819
Mollic epipedon,0,0,0,25,28,36,25,28,36,17482122,8433820
Albic horizon,25,28,36,35,38,61,10,10,25,17482122,8433821
Lithologic discontinuity,76,104,137,76,104,137,0,0,0,17482122,8433822
Aquic conditions,0,28,30,152,152,200,122,124,200,17482122,8433823
Argillic horizon,35,38,61,102,124,165,41,86,100,17482122,8433824
Mollic epipedon,0,0,0,25,48,61,25,48,61,17482123,8433825
Cambic horizon,25,48,61,102,119,165,61,71,119,17482123,8433826
Aquic conditions,25,36,61,152,152,200,91,116,175,17482123,8433827
Lithologic discontinuity,102,104,152,102,104,152,0,0,0,17482123,8433828
