geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,stream terraces,,NA,1,No ,17482205,26490274
Landform,outwash plains,,1,2,Yes,17482205,26490275
Landform,till plains,,1,2,No ,17482205,26490276
Landform,swales,,NA,1,No ,17482205,26490277
Landscape,plains,,2,NA,Yes,17482205,26490278
Landform,depressions,,1,2,Yes,17482206,26490279
Landform,outwash plains,,2,3,No ,17482206,26490280
Landscape,plains,,3,NA,Yes,17482206,26490281
Landform,depressions,,NA,1,Yes,17482207,26490282
Landform,outwash plains,,1,2,No ,17482207,26490283
Landscape,plains,,2,NA,Yes,17482207,26490284
Landform,outwash plains,,NA,1,Yes,17482121,26490112
Landform,stream terraces,,NA,NA,No ,17482121,26490113
Landscape,plains,,1,NA,Yes,17482121,26490114
Landform,stream terraces,,1,2,No ,17482122,26490119
Landform,outwash plains,,1,2,No ,17482122,26490120
Landform,depressions,,NA,1,Yes,17482122,26490121
Landscape,plains,,2,NA,Yes,17482122,26490122
Landform,outwash plains,,1,2,Yes,17482123,26490115
Landform,swales,,NA,1,No ,17482123,26490116
Landform,stream terraces,,NA,1,No ,17482123,26490117
Landscape,plains,,2,NA,Yes,17482123,26490118
