soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,0,15,30,Moist,183458939,113764491
0,15,30,200,200,200,Wet,183458939,113764492
0,0,0,0,15,30,Moist,183458940,113764493
0,15,30,200,200,200,Wet,183458940,113764494
0,0,0,0,15,30,Moist,183458941,113764495
0,15,30,200,200,200,Wet,183458941,113764496
0,0,0,0,15,30,Moist,183458942,113764497
0,15,30,200,200,200,Wet,183458942,113764498
0,0,0,0,15,30,Moist,183458943,113764499
0,15,30,200,200,200,Wet,183458943,113764500
0,0,0,0,15,30,Moist,183458952,113764501
0,15,30,200,200,200,Wet,183458952,113764502
0,0,0,0,15,30,Moist,183458953,113764503
0,15,30,200,200,200,Wet,183458953,113764504
0,0,0,0,15,30,Moist,183458957,113764505
0,15,30,200,200,200,Wet,183458957,113764506
0,0,0,0,15,30,Moist,183458960,113764507
0,15,30,200,200,200,Wet,183458960,113764508
0,0,0,0,15,30,Moist,183458961,113764509
0,15,30,200,200,200,Wet,183458961,113764510
0,0,0,0,15,30,Moist,183458962,113764511
0,15,30,200,200,200,Wet,183458962,113764512
0,0,0,0,15,30,Moist,183458965,113764513
0,15,30,200,200,200,Wet,183458965,113764514
0,15,30,200,200,200,Wet,183458968,113764515
0,0,0,0,15,30,Moist,183458968,113764516
0,0,0,0,15,30,Moist,183458971,113764517
0,15,30,200,200,200,Wet,183458971,113764518
0,15,30,200,200,200,Wet,183458972,113764519
0,0,0,0,15,30,Moist,183458972,113764520
0,15,30,200,200,200,Wet,183458974,113764521
0,0,0,0,15,30,Moist,183458974,113764522
0,0,0,30,46,61,Moist,183458003,113763781
30,46,61,200,200,200,Wet,183458003,113763782
0,0,0,30,46,61,Moist,183458006,113763783
30,46,61,200,200,200,Wet,183458006,113763784
0,0,0,30,46,61,Moist,183458007,113763785
30,46,61,200,200,200,Wet,183458007,113763786
0,0,0,30,46,61,Moist,183458010,113763787
30,46,61,200,200,200,Wet,183458010,113763788
0,0,0,30,46,61,Moist,183458011,113763789
30,46,61,200,200,200,Wet,183458011,113763790
0,0,0,0,15,30,Moist,183458016,113763791
0,15,30,200,200,200,Wet,183458016,113763792
0,0,0,0,15,30,Moist,183458019,113763793
0,15,30,200,200,200,Wet,183458019,113763794
0,0,0,0,15,30,Moist,183458020,113763795
0,15,30,200,200,200,Wet,183458020,113763796
0,0,0,0,15,30,Moist,183458023,113763797
0,15,30,200,200,200,Wet,183458023,113763798
0,0,0,0,15,30,Moist,183458026,113763799
0,15,30,200,200,200,Wet,183458026,113763800
0,0,0,0,15,30,Moist,183458030,113763801
0,15,30,200,200,200,Wet,183458030,113763802
0,15,30,200,200,200,Wet,183458031,113763803
0,0,0,0,15,30,Moist,183458031,113763804
0,0,0,0,15,30,Moist,183458034,113763805
0,15,30,200,200,200,Wet,183458034,113763806
0,0,0,0,15,30,Moist,183458035,113763807
0,15,30,200,200,200,Wet,183458035,113763808
0,15,30,200,200,200,Wet,183458038,113763809
0,0,0,0,15,30,Moist,183458038,113763810
