cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Corn,Bu,165,174,197,NA,NA,NA,242997,13170188
Soybeans,Bu,50,54,61,NA,NA,NA,242997,13170189
Winter wheat,Bu,61,65,74,NA,NA,NA,242997,13170190
Oats,Bu,79,83,94,NA,NA,NA,242997,13170191
Grass-legume hay,Tons,4.8,5.09,6.1,NA,NA,NA,242997,13170192
Grass-legume pasture,AUM,8.04,8.49,9.62,NA,NA,NA,242997,13170193
Soybeans,Bu,53,56,63,NA,NA,NA,242963,13170353
Winter wheat,Bu,57,62,73,NA,NA,NA,242963,13170354
Oats,Bu,83,88,100,NA,NA,NA,242963,13170355
Grass-legume hay,Tons,4.3,4.72,5.64,NA,NA,NA,242963,13170356
Corn,Bu,153,171,195,NA,NA,NA,242963,13170357
Grass-legume pasture,AUM,7.42,8.29,10.9,NA,NA,NA,242963,13170358
