pmgroupname,rvindicator,cokey,copmgrpkey
loess over stratified loamy outwash,Yes,17482205,12635679
clayey colluvium,Yes,17482206,12635680
calcareous loess and/or glacial drift,Yes,17482207,12635681
loess over stratified loamy outwash,Yes,17482121,12635600
loess over stratifed loamy outwash,Yes,17482122,12635601
loess over stratified loamy outwash,Yes,17482123,12635602
