areatypename,areasymbol,areaname,areaovacres,lkey,lareaovkey
County or Parish,IL019,Champaign,638860,11309,399653
MLRA,108A,"Illinois and Iowa Deep Loess and Drift, Eastern Part",542469,11309,399654
MLRA,110,Northern Illinois and Indiana Heavy Till Plain,96391,11309,399655
Rainfall Factor Area (USLE),180,Rainfall Factor,638860,11309,399656
State or Territory,IL,Illinois,638860,11309,399657
