comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
88,93,100,Elburn,Series,Yes,,,0,1,2,NA,91,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,131,207,294,0,200,360,"outwash plains on plains, stream terraces",NA,0.23,NA,8,11,12,850,965,1085,NA,NA,NA,160,170,190,1,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Aquic Argiudolls",Mollisols,Udolls,Argiudolls,Aquic Argiudolls,fine-silty,not used,superactive,not used,mesic,Aquic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,242997,17482121
0,2,9,Thorp,Series,No ,,drained,0,0.5,2,NA,61,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,131,205,294,0,200,360,-- Error in Exists On --,NA,0.16,NA,8,11,12,850,965,1085,NA,NA,NA,160,170,190,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine-silty, mixed, superactive, mesic Argiaquic Argialbolls",Mollisols,Albolls,Argialbolls,Argiaquic Argialbolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,242997,17482122
0,5,9,Drummer,Series,No ,,drained,0,0.5,2,NA,91,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,131,206,294,0,200,360,"stream terraces on outwash plains on plains, swales on outwash plains on plains",NA,0.16,NA,8,11,12,850,965,1085,NA,NA,NA,160,170,190,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,242997,17482123
90,94,100,Drummer,Series,Yes,,drained,0,0.5,2,NA,91,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,150,218,311,0,200,360,-- Error in Exists On --,NA,0.16,NA,8,11,12,850,940,1085,NA,NA,NA,160,180,190,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,242963,17482205
0,3,9,Peotone,Series,No ,,drained,0,0.5,2,NA,46,NA,Negligible,5,86,4,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Very poorly drained,150,215,300,0,200,360,depressions on outwash plains on plains,NA,0.16,NA,8,11,12,850,940,1085,NA,NA,NA,160,180,190,3,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine, smectitic, mesic Cumulic Vertic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Vertic Endoaquolls,fine,not used,not used,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,242963,17482206
0,3,9,Harpster,Series,No ,,drained,0,0.5,2,NA,46,NA,Negligible,5,86,4L,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,150,215,300,0,200,360,depressions on outwash plains on plains,NA,0.16,NA,8,11,12,850,940,1085,NA,NA,NA,160,180,190,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Typic Calciaquolls",Mollisols,Aquolls,Calciaquolls,Typic Calciaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,242963,17482207
