texcl,lieutex,chtgkey,chtkey
Silt loam,,102055688,103807753
Silty clay loam,,102055689,103807754
Silt loam,,102055690,103807755
Sandy loam,,102055691,103807594
Silt loam,,102055692,103807595
Loam,,102055693,103807891
Loamy sand,,102055694,103807751
Loam,,102055694,103807752
Silt loam,,102055695,103807596
Silt loam,,102055696,103807892
Silty clay loam,,102055697,103807756
Silt loam,,102055698,103807757
Silt loam,,102055699,103807758
Clay loam,,102055700,103807597
Loam,,102055701,103807893
Sandy clay loam,,102055702,103807759
Sandy loam,,102055703,103807894
Silty clay loam,,102055703,103807895
Silty clay loam,,102055704,103807952
Silty clay loam,,102055705,103807368
Silt loam,,102055706,103807082
Loam,,102055707,103807369
Sandy loam,,102055708,103807083
Clay loam,,102055709,103807224
Silt loam,,102055710,103807225
Clay loam,,102055711,103807226
Sandy loam,,102055711,103807227
Silty clay loam,,102056203,103808039
Silty clay loam,,102056204,103807469
Silt loam,,102056205,103807184
Loam,,102056206,103807470
Sandy loam,,102056207,103807185
Clay loam,,102056208,103807328
Silt loam,,102056209,103807331
Sandy loam,,102056210,103807329
Clay loam,,102056210,103807330
Silty clay loam,,102056211,103807363
Silty clay loam,,102056212,103807079
Silty clay,,102056213,103807364
Silty clay loam,,102056214,103807220
Silt loam,,102056215,103807221
Silty clay loam,,102056216,103807222
Silty clay,,102056217,103807223
Silty clay loam,,102056218,103807080
Clay loam,,102056219,103807366
Silt loam,,102056220,103807081
Silty clay loam,,102056221,103807367
Loam,,102056222,103807949
Silt loam,,102056223,103807950
Loam,,102056224,103807951
Silty clay loam,,102056225,103807365
