texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SICL,No ,Yes,Silty clay loam,51069654,102056203
SICL,No ,Yes,Silty clay loam,51069655,102056204
SIL,No ,No ,Silt loam,51069655,102056205
L,No ,Yes,Loam,51069656,102056206
SL,No ,No ,Sandy loam,51069656,102056207
CL,No ,No ,Clay loam,51069656,102056208
SIL,No ,No ,Silt loam,51069656,102056209
SR- SL CL,Yes,Yes,Stratified sandy loam to clay loam,51069657,102056210
SICL,No ,Yes,Silty clay loam,51069658,102056211
SICL,No ,Yes,Silty clay loam,51069659,102056212
SIC,No ,No ,Silty clay,51069659,102056213
SICL,No ,Yes,Silty clay loam,51069660,102056214
SIL,No ,No ,Silt loam,51069660,102056215
SICL,No ,No ,Silty clay loam,51069661,102056216
SIC,No ,Yes,Silty clay,51069661,102056217
SICL,No ,Yes,Silty clay loam,51069662,102056218
CL,No ,No ,Clay loam,51069663,102056219
SIL,No ,No ,Silt loam,51069663,102056220
SICL,No ,Yes,Silty clay loam,51069663,102056221
L,No ,No ,Loam,51069663,102056222
SIL,No ,Yes,Silt loam,51069664,102056223
L,No ,No ,Loam,51069664,102056224
SICL,No ,Yes,Silty clay loam,51069665,102056225
SIL,No ,Yes,Silt loam,51069357,102055688
SICL,No ,Yes,Silty clay loam,51069358,102055689
SIL,No ,No ,Silt loam,51069358,102055690
SL,No ,No ,Sandy loam,51069359,102055691
SIL,No ,No ,Silt loam,51069359,102055692
L,No ,Yes,Loam,51069359,102055693
SR- L LS,Yes,Yes,Stratified loam to loamy sand,51069360,102055694
SIL,No ,Yes,Silt loam,51069361,102055695
SIL,No ,Yes,Silt loam,51069362,102055696
SICL,No ,Yes,Silty clay loam,51069363,102055697
SIL,No ,No ,Silt loam,51069363,102055698
SIL,No ,No ,Silt loam,51069364,102055699
CL,No ,No ,Clay loam,51069364,102055700
L,No ,No ,Loam,51069364,102055701
SCL,No ,Yes,Sandy clay loam,51069364,102055702
SR- SL SICL,Yes,Yes,Stratified sandy loam to silty clay loam,51069365,102055703
SICL,No ,Yes,Silty clay loam,51069366,102055704
SICL,No ,Yes,Silty clay loam,51069367,102055705
SIL,No ,No ,Silt loam,51069367,102055706
L,No ,Yes,Loam,51069368,102055707
SL,No ,No ,Sandy loam,51069368,102055708
CL,No ,No ,Clay loam,51069368,102055709
SIL,No ,No ,Silt loam,51069368,102055710
SR- SL CL,Yes,Yes,Stratified sandy loam to clay loam,51069369,102055711
