musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
198A,"Elburn silt loam, 0 to 2 percent slopes",NA,1,1,NA,46,46,None,None,7,5.22,10.08,18.58,26.37,Somewhat poorly drained,Somewhat poorly drained,B/D,NA,100,1,93,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Somewhat limited,0.475,Slight,7,1,242997
152A,"Drummer silty clay loam, 0 to 2 percent slopes",NA,0.5,0.5,NA,15,15,None,None,100,4.51,8.87,17.39,24.3,Poorly drained,Poorly drained,B/D,NA,100,2,97,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,100,1,242963
