hillslopeprof,cogeomdkey,cosurfmorhppkey
Summit,26490112,10943779
Footslope,26490112,10943780
Toeslope,26490115,10943783
Toeslope,26490116,10943782
Toeslope,26490119,10943784
Toeslope,26490120,10943785
Toeslope,26490121,10943786
Toeslope,26490275,10943841
Toeslope,26490276,10943842
Toeslope,26490277,10943781
Toeslope,26490279,10943844
Toeslope,26490280,10943843
Toeslope,26490282,10943845
Toeslope,26490283,10943846
