structgrpname,rvindicator,chkey,chstructgrpkey
weak fine granular structure,Yes,51069357,27178420
moderate medium subangular blocky structure,Yes,51069358,27178421
weak coarse subangular blocky structure,Yes,51069359,27178422
structureless massive structure,Yes,51069360,27178419
moderate fine granular structure,Yes,51069361,27178423
weak thin platy structure,Yes,51069362,27178424
moderate fine prismatic structure parting to moderate fine angular blocky structure,Yes,51069363,27178425
weak fine prismatic structure,Yes,51069364,27178426
structureless massive structure,Yes,51069365,27178427
weak fine granular structure,Yes,51069366,27178307
moderate fine prismatic structure parts to moderate fine angular blocky structure,Yes,51069367,27178308
weak coarse subangular blocky structure,Yes,51069368,27178309
structureless massive structure,Yes,51069369,27178310
weak fine granular structure,Yes,51069654,27178178
moderate fine prismatic structure parts to moderate fine angular blocky structure,Yes,51069655,27178179
weak coarse subangular blocky structure,Yes,51069656,27178180
structureless massive structure,Yes,51069657,27178181
weak fine granular structure,Yes,51069658,27178299
moderate medium angular blocky structure,Yes,51069659,27178300
structureless massive structure,Yes,51069660,27178301
moderate fine prismatic structure,Yes,51069661,27178302
moderate medium prismatic structure parts to moderate medium angular blocky structure,Yes,51069662,27178304
weak coarse subangular blocky structure,Yes,51069663,27178305
structureless massive structure,Yes,51069664,27178306
weak fine granular structure,Yes,51069665,27178303
