fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069654,87517328
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069655,87517329
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069656,87517330
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51069656,87517331
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51069656,87517332
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51069657,87517333
1,3,9,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069657,87517334
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51069657,87517335
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069658,87517336
0,1,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069659,87517337
0,0,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51069659,87517338
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51069660,87517339
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51069660,87517340
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51069660,87517341
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069661,87517342
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51069661,87517343
0,1,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51069661,87517344
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069662,87517345
0,2,4,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069663,87517346
0,3,6,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069664,87517347
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51069664,87517348
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069665,87517349
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069357,87516759
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069358,87516760
0,1,4,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069359,87516761
0,0,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51069359,87516762
0,2,7,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069360,87516763
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51069360,87516764
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069361,87516765
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069362,87516766
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069363,87516767
0,2,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069364,87516768
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51069364,87516769
0,5,8,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069365,87516770
0,2,5,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51069365,87516771
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069366,87516772
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069367,87516773
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069368,87516774
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51069368,87516775
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51069368,87516776
1,3,9,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51069369,87516777
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51069369,87516778
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51069369,87516779
