areaovacres,lareaovkey,mukey,muareaovkey
254334,399653,242963,23682855
254334,399654,242963,23682856
254334,399657,242963,23682857
17649,399653,242997,23682891
17649,399654,242997,23682892
17649,399657,242997,23682893
