aashtocl,rvindicator,chkey,chaashtokey
A-7-6,No ,51069654,83516090
A-7-5,Yes,51069654,83516091
A-6,No ,51069655,83516092
A-7-6,Yes,51069655,83516093
A-7-6,No ,51069656,83516094
A-6,Yes,51069656,83516095
A-4,No ,51069656,83516096
A-4,No ,51069657,83516097
A-6,Yes,51069657,83516098
A-7-6,No ,51069657,83516099
A-7-5,Yes,51069658,83516100
A-7-6,No ,51069658,83516101
A-7-6,Yes,51069659,83516102
A-7-5,No ,51069659,83516103
A-6,No ,51069660,83516104
A-7-6,Yes,51069660,83516105
A-7-6,Yes,51069661,83516106
A-6,No ,51069662,83516107
A-7-6,Yes,51069662,83516108
A-6,Yes,51069663,83516109
A-7-6,No ,51069663,83516110
A-6,Yes,51069664,83516111
A-4,No ,51069664,83516112
A-7-6,No ,51069665,83516113
A-7-5,Yes,51069665,83516114
A-6,No ,51069357,83515522
A-7-6,Yes,51069357,83515523
A-7-5,No ,51069357,83515524
A-6,No ,51069358,83515525
A-7-6,Yes,51069358,83515526
A-4,No ,51069359,83515527
A-6,Yes,51069359,83515528
A-2-4,Yes,51069360,83515529
A-4,No ,51069360,83515530
A-2-6,No ,51069360,83515531
A-6,No ,51069360,83515532
A-7-5,No ,51069361,83515533
A-6,No ,51069361,83515534
A-7-6,Yes,51069361,83515535
A-6,Yes,51069362,83515536
A-6,No ,51069363,83515537
A-7-6,Yes,51069363,83515538
A-6,Yes,51069364,83515539
A-7-6,No ,51069364,83515540
A-2-4,No ,51069365,83515541
A-2-6,No ,51069365,83515542
A-4,No ,51069365,83515543
A-6,Yes,51069365,83515544
A-7-6,No ,51069366,83515545
A-7-5,Yes,51069366,83515546
A-6,No ,51069367,83515547
A-7-6,Yes,51069367,83515548
A-6,Yes,51069368,83515549
A-7-6,No ,51069368,83515550
A-4,No ,51069368,83515551
A-4,No ,51069369,83515552
A-6,Yes,51069369,83515553
A-7-6,No ,51069369,83515554
