geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landscape,till plains,,2,NA,Yes,17484894,26496474
Landform,ground moraines,,1,2,Yes,17484894,26496475
Landscape,till plains,,2,NA,Yes,17484895,26496472
Landform,depressions,,1,2,Yes,17484895,26496473
