cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Corn,Bu,121.51,135,148.5,NA,NA,NA,173384,13175478
Soybeans,Bu,36.9,41,45.1,NA,NA,NA,173384,13175479
Winter wheat,Bu,47.7,53,58.3,NA,NA,NA,173384,13175480
Grain sorghum,Bu,91.8,102,112.2,NA,NA,NA,173384,13175481
Grass-legume hay,Tons,3.76,4.18,4.6,NA,NA,NA,173384,13175482
Grass-legume pasture,AUM,5.55,6.17,6.79,NA,NA,NA,173384,13175483
