pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
1,Silty,,Loess,NA,12638300,17711924
2,Silty,,Drift,NA,12638300,17711925
2,,,Drift,NA,12638299,17711922
1,,,Loess,NA,12638299,17711923
