cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Corn,Bu,121.5,135,148.5,NA,NA,NA,NA,NA,17484894,36236366
Soybeans,Bu,36.9,41,45.1,NA,NA,NA,NA,NA,17484894,36236367
Winter wheat,Bu,47.7,53,58.3,NA,NA,NA,NA,NA,17484894,36236368
Grain sorghum,Bu,91.8,102,112.2,NA,NA,NA,NA,NA,17484894,36236369
Grass-legume hay,Tons,3.76,4.18,4.6,NA,NA,NA,NA,NA,17484894,36236370
Grass-legume pasture,AUM,5.55,6.17,6.79,NA,NA,NA,NA,NA,17484894,36236371
,,NA,NA,NA,NA,NA,NA,NA,NA,17484894,36236372
