aashtocl,rvindicator,chkey,chaashtokey
A-7-6,No ,51078282,83532497
A-6,Yes,51078282,83532498
A-6,Yes,51078283,83532499
A-7-6,No ,51078283,83532500
A-4,Yes,51078284,83532501
A-6,No ,51078284,83532502
A-4,Yes,51078285,83532503
A-6,No ,51078285,83532504
A-7-6,Yes,51078286,83532505
