texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
L,No ,No ,Loam,51078282,102071634
CL,No ,No ,Clay loam,51078282,102071635
SICL,No ,No ,Silty clay loam,51078282,102071636
SIL,No ,Yes,Silt loam,51078282,102071637
CL,No ,No ,Clay loam,51078283,102071638
L,No ,No ,Loam,51078283,102071639
SICL,No ,Yes,Silty clay loam,51078283,102071640
SIL,No ,No ,Silt loam,51078283,102071641
SIL,No ,Yes,Silt loam,51078284,102071642
SIL,No ,Yes,Silt loam,51078285,102071643
SICL,No ,Yes,Silty clay loam,51078286,102071644
SIC,No ,No ,Silty clay,51078286,102071645
