structgrpname,rvindicator,chkey,chstructgrpkey
massive,Yes,51078282,27187198
weak coarse angular blocky structure,Yes,51078283,27187197
moderate thick platy structure,Yes,51078284,27187199
moderate fine granular structure,Yes,51078285,27187195
strong fine prismatic structure parting to strong fine angular blocky structure,Yes,51078286,27187196
