rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Friable,NA,NA,NA,,NA,NA,Yes,51078282,4986069
Friable,NA,NA,NA,,NA,NA,Yes,51078283,4986068
Friable,NA,NA,NA,,NA,NA,Yes,51078284,4986070
Friable,NA,NA,NA,,NA,NA,Yes,51078285,4986066
Friable,NA,NA,NA,,NA,NA,Yes,51078286,4986067
