areatypename,areasymbol,areaname,areaovacres,lkey,lareaovkey
County or Parish,IL051,Fayette,464610,11327,399736
MLRA,113,Central Claypan Areas,459930,11327,399737
MLRA,114B,"Southern Illinois and Indiana Thin Loess and Till Plain, Western Part",4680,11327,399738
Rainfall Factor Area (USLE),200,Rainfall Factor,464610,11327,399739
State or Territory,IL,Illinois,464610,11327,399740
