reskind,reshard,resdept.l,resdept.r,resdept.h,resdepb.l,resdepb.r,resdepb.h,resthk.l,resthk.r,resthk.h,cokey,corestrictkey
Abrupt textural change,Noncemented,38,43,48,89,94,99,46,51,56,17484894,4818849
Natric,Noncemented,20,25,41,81,124,152,61,99,111,17484895,4818850
