soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,0,15,30,Moist,183489794,113788683
0,15,30,200,200,200,Wet,183489794,113788684
0,0,0,0,15,30,Moist,183489800,113788685
0,15,30,200,200,200,Wet,183489800,113788686
0,0,0,0,15,30,Moist,183489801,113788687
0,15,30,200,200,200,Wet,183489801,113788688
0,0,0,0,15,30,Moist,183489802,113788689
0,15,30,200,200,200,Wet,183489802,113788690
0,0,0,0,15,30,Moist,183489803,113788691
0,15,30,200,200,200,Wet,183489803,113788692
0,0,0,0,15,30,Moist,183489804,113788693
0,15,30,200,200,200,Wet,183489804,113788694
0,0,0,0,15,30,Moist,183489805,113788695
0,15,30,200,200,200,Wet,183489805,113788696
0,0,0,0,15,30,Moist,183489806,113788697
0,15,30,200,200,200,Wet,183489806,113788698
0,0,0,0,15,30,Moist,183489807,113788699
0,15,30,200,200,200,Wet,183489807,113788700
0,0,0,0,15,30,Moist,183489808,113788701
0,15,30,200,200,200,Wet,183489808,113788702
