unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,51078282,95947250
CL,Yes,51078283,95947251
CL,Yes,51078284,95947252
CL-ML,No ,51078284,95947253
CL,Yes,51078285,95947254
CL-ML,No ,51078285,95947255
ML,No ,51078285,95947256
CH,No ,51078286,95947257
CL,Yes,51078286,95947258
