structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Moderate,Fine,Granular,NA,NA,27187195,33240964
Strong,Fine,Prismatic,1,2,27187196,33240965
Strong,Fine,Angular blocky,2,NA,27187196,33240966
Weak,Coarse,Angular blocky,NA,NA,27187197,33240967
Structureless,,Massive,NA,NA,27187198,33240968
Moderate,Thick,Platy,NA,NA,27187199,33240969
