featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Argillic horizon,6,43,48,105,152,157,109,109,109,17484894,8437296
Albic horizon,5,20,23,6,43,48,1,23,25,17484894,8437297
Ochric epipedon,0,0,0,20,43,43,20,43,43,17484894,8437298
Aquic conditions,0,0,0,15,20,20,15,20,20,17484894,8437299
