site,iacsr_maj,iacsr_wgt,bhz_maj,bhz_wt,draincl_maj,cropprodindex_maj,cropprodindex_wgt
ames,88,88.98490909268732,29,28.099999999999998,Poorly drained,NA,NA
kana,84,86.1548903163253,32,35.405,Poorly drained,93,95.58586837959035
craw,83,82.37857349119261,38.333333333333336,37.24166666666667,Poorly drained,NA,NA
lewi,95,91.77388855361093,37,37,Poorly drained,NA,NA
mcna,72,74.38966953291188,31,29.950000000000003,Poorly drained,NA,NA
nash,91,90.55300837776085,30.5,30.724999999999998,Poorly drained,100,98.65902513328257
suth,100,96.80066811379574,31.5,31.625,Poorly drained,NA,NA
